method,kappa_c,kappa_f,sweep,N,observable,mean,se,uncertainty_method
HMC,0.340100,0.340301,50,3000,phi2,0.8279366305432504,0.0003179377446624932,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,phi4,1.0494772186585595,0.0006251650570439099,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,NN,0.5663130936125443,0.0005265186642099714,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,2nn,0.47365410259896806,0.0007278453548890138,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,diag,0.5071116035876391,0.0006346420448897306,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,chi,1206.878124074662,9.561326453483263,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,U4,0.6042874076520395,0.0021225487304716993,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,50,3000,xi_over_L,0.8691835915950775,0.013872867597471427,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,action_density,-0.5488943172288673,0.0004841598141753186,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,phi2,0.8276534737492773,0.00030621011121446603,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,phi4,1.048942285638923,0.000592014730053651,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,NN,0.5658102158960103,0.0005085625410693875,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,2nn,0.4730962080512933,0.00070655826056243,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,diag,0.506692679439537,0.0006133355684295668,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,chi,1204.974784857554,9.431150854127052,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,U4,0.6053526825399005,0.0020791377620278492,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,100,3000,xi_over_L,0.8659861317441685,0.013884518402947838,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,action_density,-0.5488424432804964,0.0004948584291455106,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,phi2,0.827721306760061,0.000315529305594916,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,phi4,1.0491812276771961,0.0006133033865743947,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,NN,0.5658978112006954,0.0005240681166160473,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,2nn,0.4732181002846217,0.0007267916684263145,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,diag,0.5065834584537803,0.0006272928441465807,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,chi,1211.5080067155295,9.672309913594415,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,U4,0.605136611834225,0.0021201482438569057,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,250,3000,xi_over_L,0.8653075539397364,0.014138134424324168,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,action_density,-0.5488953400106494,0.00048766600127763093,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,phi2,0.8273078326518054,0.00031439743330096407,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,phi4,1.0481305080001673,0.0006087507757067785,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,NN,0.5654685229833376,0.00051675111645191,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,2nn,0.4725310142529316,0.0007109339568904003,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,diag,0.5060313004841347,0.0006225764387716887,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,chi,1201.8589932929121,9.462734796240435,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,U4,0.6036960291241644,0.0021126628907463738,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
HMC,0.340100,0.340301,500,3000,xi_over_L,0.8598405589518988,0.013587575155235402,"configuration bootstrap, 4000 replicates; HMC off-source replicas concatenated"
